Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
qocchildren_enrolled_school_daycare	quality_of_life_and_care		radio	CC5.  Is your child now enrolled in any kind of school or daycare?	1, Yes | 0, No ? If No, go to #9 [If items CC8-CC18 are included: go to #CC8]												
qocchildrendoctor_healthprovider_contact_school_daycare_last6months	quality_of_life_and_care		radio	CC6.  In the last 6 months, did you need your child's doctors or other health providers to contact a school or daycare center about your child's health or health care?	1, Yes | 0, No ? If No, go to #9 [If items CC8-CC18 are included: go to #CC8]												
qocchildrendoctor_healthprovider_help_school_daycare_last6months	quality_of_life_and_care		radio	CC7. In the last 6 months, did you get the help you needed from your child's doctors or other health providers in contacting your child's school or daycare?	1, Yes | 0, No												
option_820102	quality_of_life_and_care		descriptive	Option: Insert additional questions about general health care here. Specialized Services													
qocchildren_specialmedicalequipment_devices_last6months	quality_of_life_and_care		radio	CC8. Special medical equipment or devices include a walker, wheelchair, nebulizer, feeding tubes, or oxygen equipment. In the last 6 months, did you get or try to get any special medical equipment or devices for your child?	1, Yes | 0, No ? If No, go to #CC11												
qocchildren_easy_getspecialmedicalequipment_devices_last6months	quality_of_life_and_care		radio	CC9.  In the last 6 months, how often was it easy to get special medical equipment or devices for your child?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_help_getspecialmedicalequipment_devices	quality_of_life_and_care		radio	CC10.  Did anyone from your child's health plan, doctor's office, or clinic help you get special medical equipment or devices for your child?	1, Yes | 0, No												
qocchildren_need_getspecial_therapy	quality_of_life_and_care		radio	CC11.  Does your child need or get special therapy such as physical, occupational, or speech therapy?	1, Yes | 0, No ? If No, go to #CC14												
qocchildren_easy_getspecial_therapy_last6months	quality_of_life_and_care		radio	CC12.  In the last 6 months, how often was it easy to get this therapy for your child?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_help_getspecial_therapy	quality_of_life_and_care		radio	CC13.  Did anyone from your child's health plan, doctor's office, or clinic help you get this therapy for your child?	1, Yes | 0, No												
qocchildren_treatment_counseling_last6months	quality_of_life_and_care		radio	CC14.  In the last 6 months, did you get or try to get treatment or counseling for your child for an emotional, developmental, or behavioral problem?	1, Yes | 0, No ? If No, go to #CC17												
qocchildren_easy_gettreatment_counseling_last6months	quality_of_life_and_care		radio	CC15.  In the last 6 months, how often was it easy to get this treatment or counseling for your child?	1, Never | 2, Sometimes | 3, Usually												
qocchildren_help_gettreatment_counseling	quality_of_life_and_care		radio	CC16.  Did anyone from your child's health plan, doctor's office, or clinic help you get this treatment or counseling for your child?	1, Yes | 0, No												
qocchildren_morethanone_provider_service_last6months	quality_of_life_and_care		radio	CC17.  In the last 6 months, did your child get care from more than one kind of health care provider or use more than one kind of health care service?	1, Yes | 0, No												
qocchildren_helpcoordinate_differentprovidersservices_last6months	quality_of_life_and_care		radio	CC18.  In the last 6 months, did anyone from your child's health plan, doctor's office, or clinic help coordinate your child's care among these different providers or services?	1, Yes | 0, No												
personal_dr_820102	quality_of_life_and_care		descriptive	Your Child's Personal Doctor													
qocchildren_have_personaldoctor	quality_of_life_and_care		radio	9.  A personal doctor is the one your child would see if he or she needs a check-up or gets sick or hurt. Does your child have a personal doctor?	1, Yes | 0, No ? If No, go to #19												
qocchildren_visit_personaldoctor_last6months	quality_of_life_and_care		radio	10.  In the last 6 months, how many times did your child visit his or her personal doctor for care?	0, None ? If None, go to #18 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 to 9 | 6, 10 or more												
qocchildren_personaldoctor_explain_understand_last6months	quality_of_life_and_care		radio	11.  In the last 6 months, how often did your child's personal doctor explain things in a way that was easy to understand?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_personaldoctor_listen_carefully_last6months	quality_of_life_and_care		radio	12.  In the last 6 months, how often did your child's personal doctor listen carefully to you?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_personaldoctor_show_respect_last6months	quality_of_life_and_care		radio	13.  In the last 6 months, how often did your child's personal doctor show respect for what you had to say?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_child_talk_health_care	quality_of_life_and_care		radio	14.  Is your child able to talk with doctors about his or her health care?	1, Yes | 0, No ? If No, go to #16												
qocchildren_personaldoctor_explainchild_understand_last6months	quality_of_life_and_care		radio	15.  In the last 6 months, how often did your child's personal doctor explain things in a way that was easy for your child to understand?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_personaldoctor_timewith_child_last6months	quality_of_life_and_care		radio	16.  In the last 6 months, how often did your child's personal doctor spend enough time with your child?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_personaldoctor_talkwith_you_last6months	quality_of_life_and_care		radio	17.  In the last 6 months, did your child's personal doctor talk with you about how your child is feeling, growing, or behaving?	1, Yes | 0, No												
qocchildren_rate_personaldoctor	quality_of_life_and_care		radio	18.  Using any number from 0 to 10, where 0 is the worst personal doctor possible and 10 is the best personal doctor possible, what number would you use to rate your child's personal doctor?	0, 0  Worst personal doctor possible | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 Best personal doctor possible												
qocchildren_medical_behavioralhealthconditions_morethan_3months	quality_of_life_and_care		radio	CC19.  Does your child have any medical, behavioral, or other health conditions that have lasted for more than 3 months?	1, Yes | 0, No ? If No, go to #19												
qocchildren_personaldoctor_understandaffectchild_dailylife	quality_of_life_and_care		radio	CC20.  Does your child's personal doctor understand how these medical, behavioral, or other health conditions affect your child's day-to-day life?	1, Yes | 0, No												
qocchildren_personaldoctor_understandaffectfamily_dailylife	quality_of_life_and_care		radio	CC21.  Does your child's personal doctor understand how your child's medical, behavioral, or other health conditions affect your FAMILY'S day-to-day life?	1, Yes | 0, No												
specialist_820102	quality_of_life_and_care		descriptive	Option: Insert additional questions about personal doctor here. Getting Health Care From a Specialist													
qocchildren_appointment_specialists_last6months	quality_of_life_and_care		radio	19.  Specialists are doctors like surgeons, heart doctors, allergy doctors, skin doctors, and other doctors who specialize in one area of health care. In the last 6 months, did you try to make any appointments for your child to see a specialist?	1, Yes | 0, No ? If No, go to #23												
qocchildren_appointment_specialists_easy_getlast6months	quality_of_life_and_care		radio	20.  In the last 6 months, how often was it easy to get appointments for your child with specialists?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_specialistsseen_last6months	quality_of_life_and_care		radio	21.  How many specialists has your child seen in the last 6 months?	0, 0  None ? If None, go to #23 | 1, 1 specialist | 2, 2 | 3, 3 | 4, 4 | 5, 5 or more specialists												
qocchildren_rate_specialistseen_last6months	quality_of_life_and_care		radio	22.  We want to know your rating of the specialist your child saw most often in the last 6 months. Using any number from 0 to 10, where 0 is the worst specialist possible and 10 is the best specialist possible, what number would you use to rate that specialist?	0, 0 Worst specialist possible | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 Best specialist possible												
health_plan_820102	quality_of_life_and_care		descriptive	Option: Insert additional questions about specialist care here. Your Child's Health Plan													
qocchildren_caretests_treatment_healthplan_last6months	quality_of_life_and_care		radio	23. In the last 6 months, did you try to get any kind of care, tests, or treatment for your child through his or her health plan?	1, Yes | 0, No ? If No, go to #25												
qocchildren_easygetcare_tests_treatmenthealthplan_last6months	quality_of_life_and_care		radio	24.  In the last 6 months, how often was it easy to get the care, tests, or treatment you thought your child needed through his or her health plan?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_information_help_healthplan_last6months	quality_of_life_and_care		radio	25.  In the last 6 months, did you try to get information or help from customer service at your child's health plan?	1, Yes | 0, No ? If No, go to #28												
qocchildren_customerservice_give_healthplan_last6months	quality_of_life_and_care		radio	26.  In the last 6 months, how often did customer service at your child's health plan give you the information or help you needed?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_customerservice_courtesyrespect_healthplan_last6months	quality_of_life_and_care		radio	27.  In the last 6 months, how often did customer service staff at your child's health plan treat you with courtesy and respect?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_healthplan_forms_last6months	quality_of_life_and_care		radio	28.  In the last 6 months, did your child's health plan give you any forms to fill out?	1, Yes | 0, No ? If No, go to #30												
qocchildren_healthplan_forms_easyfill_last6months	quality_of_life_and_care		radio	29.  In the last 6 months, how often were the forms from your child's health plan easy to fill out?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_rate_health_plan	quality_of_life_and_care		radio	30.  Using any number from 0 to 10, where 0 is the worst health plan possible and 10 is the best health plan possible, what number would you use to rate your child's health plan?	0, 0 Worst health plan possible | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 Best health plan possible												
prescripts_820102	quality_of_life_and_care		descriptive	Option: Insert additional questions about the health plan here. Prescription Medicines													
qocchildren_prescription_medicines_last6months	quality_of_life_and_care		radio	CC22.  In the last 6 months, did you get or refill any prescription medicines for your child?	1, Yes | 0, No - If NO, go to #31												
qocchildren_easy_getprescription_medicines_last6months	quality_of_life_and_care		radio	CC23.  In the last 6 months, how often was it easy to get prescription medicines for your child through his or her health plan?	1, Never | 2, Sometimes | 3, Usually | 4, Always												
qocchildren_help_getprescription_medicines	quality_of_life_and_care		radio	CC24.  Did anyone from your child's health plan, doctor's office, or clinic help you get your child's prescription medicines?	1, Yes | 0, No												
you_child_820102	quality_of_life_and_care		descriptive	About Your Child and You													
qocchildren_rate_overall_health	quality_of_life_and_care		radio	31. In general, how would you rate your child's overall health?	1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor												
qocchildren_use_prescribedmedicine	quality_of_life_and_care		radio	CC25.  Does your child currently need or use medicine prescribed by a doctor (other than vitamins)?	1, Yes | 0, No ? If No, go to #CC28												
qocchildren_specialtherapy_medical_behavioral_health	quality_of_life_and_care		radio	CC26. Is this because of any medical, behavioral, or other health condition?	1, Yes | 0, No ? If No, go to #CC28												
qocchildren_condition_last_expected_12months	quality_of_life_and_care		radio	CC27.  Is this a condition that has lasted or is expected to last for at least 12 months?	1, Yes | 0, No												
qocchildren_needusemore_medicalmentalhealth_educational	quality_of_life_and_care		radio	CC28.  Does your child need or use more medical care, more mental health services, or more educational services than is usual for most children of the same age?	1, Yes | 0, No - If NO, go to #CC31												
qocchildren_limited_preventedmedicalbehavioral_otherhealth	quality_of_life_and_care		radio	CC29.  Is this because of any medical, behavioral, or other health condition?	1, Yes | 0, No ? If No, go to #CC31												
qocchildren_condition_lastexpected_atleast_12months	quality_of_life_and_care		radio	CC30.  Is this a condition that has lasted or is expected to last for at least 12 months?	1, Yes | 0, No												
qocchildren_limited_preventedability	quality_of_life_and_care		radio	CC31.  Is your child limited or prevented in any way in his or her ability to do the things most children of the same age can do?	1, Yes | 0, No ? If No, go to #CC34												
qocchildren_needusemore_becausemedicalbehavioral_other_health	quality_of_life_and_care		radio	CC32. Is this because of any medical, behavioral, or other health condition?	1, Yes | 0, No ? If No, go to #CC34												
qocchildren_limited_preventedcondition_lastexpected_12months	quality_of_life_and_care		radio	CC33.  Is this a condition that has lasted or is expected to last for at least 12 months?	1, Yes | 0, No												
cc34_820201	quality_of_life_and_care		radio	CC34.  Does your child need or get special therapy such as physical, occupational, or speech therapy?	1, Yes | 0, No ? If No, go to #CC37												
qocchildren_use_prescribedmedicine_medicalbehavioral_health	quality_of_life_and_care		radio	CC35. Is this because of any medical, behavioral, or other health condition?	1, Yes | 0, No ? If No, go to #CC37												
qocchildren_specialtherapy_condition_lastexpected_12months	quality_of_life_and_care		radio	CC36. Is this a condition that has lasted or is expected to last for at least 12 months?	1, Yes | 0, No												
qocchildren_have_emotionaldevelopmental_behavioraltreatment_counseling	quality_of_life_and_care		radio	CC37.  Does your child have any kind of emotional, developmental, or behavioral problem for which he or she needs or gets treatment or counseling?	1, Yes | 0, No ? If No, go to #32												
qocchildren_problem_last_expected_12months	quality_of_life_and_care		radio	CC38. Has this problem lasted or is it expected to last for at least 12 months?	1, Yes | 0, No												
qocchildren_child_age	quality_of_life_and_care		radio	32. What is your child's age?	0, Less than 1 year old | 1, _____ YEARS OLD (write in below)												
qocchildren_child_ageother	quality_of_life_and_care		text	32a. What is your child's age? Write in			number										
qocchildren_child_gender	quality_of_life_and_care		radio	33. Is your child male or female?	1, Male | 0, Female												
qocchildren_child_origin_descent	quality_of_life_and_care		radio	34.  Is your child of Hispanic or Latino origin or descent?	1, Yes, Hispanic or Latino | 2, No, not Hispanic or Latino												
qocchildren_child_race	quality_of_life_and_care		checkbox	35.  What is your child's race? Please mark one or more.	1, White | 2, Black or African-American | 3, Asian | 4, Native Hawiian or other Pacific Islander | 5, American Indian or Alsaka Native | 99, Other												
qocchildren_your_age	quality_of_life_and_care		radio	36.  What is your age?	0, Under 18 | 1, 18 to 24 | 2, 25 to 34 | 3, 35 to 44 | 4, 45 to 54 | 5, 55 to 64 | 6, 65 to 74 | 7, 75 or older												
qocchildren_your_gender	quality_of_life_and_care		radio	37.  Are you male or female?	1, Male | 0, Female												
qocchildren_your_highest_gradelevel_completed	quality_of_life_and_care		radio	38.  What is the highest grade or level of school that you have completed?	1, 8th grade or less | 2, Some high school, but did not graduate | 3, High school graduate or GED | 4, Some college or 2-year degree | 5, 4-year college graduate | 6, More than 4-year college degree												
qocchildren_related_to_child	quality_of_life_and_care		radio	39.  How are you related to the child?	1, Mother or father | 2, Grandparent | 3, Aunt or uncle | 4, Older sibling | 5, Other relative | 6, Legal guardian												
qocchildren_help_complete_survey	quality_of_life_and_care		radio	40.  Did someone help you complete this survey?	1, Yes | 0, No ? Thank you.												
paintype_intensity_chart	quality_of_life_and_care	Adolescent/ Pediatric pain tool appt (PhenX protocol PX190902 unless stated otherwise)	descriptive														
paintype_intensity_code	quality_of_life_and_care		text	Code													
paintype_intensity_date	quality_of_life_and_care		text	Date													
paintype_intensity_mark_pain_areas	quality_of_life_and_care		text	Color in the areas on these drawings to show where you have pain. Make the marks as big or small as the place where the pain is.													
paintype_intensity_mark_pain_amount	quality_of_life_and_care		radio	Place a straight, up and down mark on this line to show how much pain you have.	0,No Pain|1,Little Pain|2,Medium Pain|3,Large Pain|4,Worst Possible Pain												
paintype_intensity_describe_pain	quality_of_life_and_care		radio	Point to or circle as many of these words that describe your pain	1,annoying, bad, horrible, miserable, terrible, uncomfortable|2,aching, hurting, like an ache, like a hurt, sore|3,beating, hitting, pounding, punching, throbbing|4,biting, cutting, like a pin, like a sharp knife, pin like, sharp, stabbing|5,blistering, burning, hot|6,cramping, crushing, like a pinch, pinching, pressure|7,itching, like a scratch, like a sting, scratching, stinging|8,shocking, shooting, splitting|9,numb, stiff, swollen, tight|10,awful, deadly, dying, killing|11,crying, frightening, screaming, terrifying|12,dizzy, sickening, suffocating|13,never goes away, uncontrollable|14,always, comes and goes, comes on all of a sudden, constant, continuous, forever|15,off and on, once in a while, sneaks up, sometimes, steady|16,If you like, you may add other words: ________   ________   ________												
paintype_intensity_describe_painother1	quality_of_life_and_care		text	Point to or circle as many of these words that describe your pain: If you like, you may add other words													
paintype_intensity_describe_painother2	quality_of_life_and_care		text	Point to or circle as many of these words that describe your pain: If you like, you may add other words													
paintype_intensity_describe_painother3	quality_of_life_and_care		text	Point to or circle as many of these words that describe your pain: If you like, you may add other words													
info_820201	quality_of_life_and_care	Adult sickle cell quality of life - Measurement Information (PhenX protocol PX0820201 unless stated otherwise)	descriptive	Adult Sickle Cell Quality of Life Measurement Information System (ASCQ-Me) Answer all the questions by checking the box to the left of your answer. Emotional Impact													
qol_scdadult_completely_hopeless_past7days	quality_of_life_and_care		radio	1.  In the past 7 days, how often did you feel completely hopeless because of your health?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_lonely_past7days	quality_of_life_and_care		radio	2.  In the past 7 days, how lonely did you feel because of your health problems?	0, Not at all | 1, A little | 2, Somewhat | 3, Quite | 4, Very												
qol_scdadult_depressed_past7days	quality_of_life_and_care		radio	3.  In the past 7 days, how depressed were you about your health problems?	0, Not at all | 1, A little | 2, Somewhat | 3, Quite | 4, Very												
qol_scdadult_worry_past7days	quality_of_life_and_care		radio	4. In the past 7 days, how much did you worry about getting sick?	0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much												
qol_scdadult_often_worried_past7days	quality_of_life_and_care		radio	5.  In the past 7 days, how often were you very worried about needing to go to the hospital?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
social_820201	quality_of_life_and_care		descriptive	Social Functioning Impact													
qol_scdadult_relyon_others_past30days	quality_of_life_and_care		radio	1.  In the past 30 days, how much did you rely on others to take care of you because of your health?	0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much												
qol_scdadult_often_slowdown_past30days	quality_of_life_and_care		radio	2. In the past 30 days, how often did your health slow you down?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_oftenhard_dothings_past30days	quality_of_life_and_care		radio	3.  In the past 30 days, how often did your health make it hard for you to do things?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_oftenprevent_going_past30days	quality_of_life_and_care		radio	4.  In the past 30 days, how often did your health keep you from going out?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_howmuch_dothings_past30days	quality_of_life_and_care		radio	5.  In the past 30 days, how much did your health make it hard for you to do things with your friends?	0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much												
sleep_820201	quality_of_life_and_care		descriptive	Sleep Impact													
qol_scdadult_oftenunable_sleep_past7days	quality_of_life_and_care		radio	1.  In the past 7 days, how often did you stay up most of the night because you could not fall asleep?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_ofteneasy_sleep_past7days	quality_of_life_and_care		radio	2.  In the past 7 days, how often was it very easy for you to fall asleep?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_trouble_sleep_past7days	quality_of_life_and_care		radio	3.  In the past 7 days, how often did you have a lot of trouble falling asleep?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_up_allnight_past7days	quality_of_life_and_care		radio	4.  In the past 7 days, how often did you stay up all night because you could not fall asleep?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_up_halfnight_past7days	quality_of_life_and_care		radio	5.  In the past 7 days, how often did you stay up half of the night because you could not fall asleep?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
stiffness_820201	quality_of_life_and_care		descriptive	Stiffness Impact													
qol_scdadult_wokeup_stiff_past7days	quality_of_life_and_care		radio	1.  In the past 7 days, how often were your joints very stiff when you woke up?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_stiff_duringday_past7days	quality_of_life_and_care		radio	2.  In the past 7 days, how often were your joints very stiff during the day?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_unablemove_duringday_past7days	quality_of_life_and_care		radio	3.  In the past 7 days, how often were your joints so stiff during the day that you could not move?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_wakeup_unablemove_past7days	quality_of_life_and_care		radio	4.  In the past 7 days, how often did you wake up so stiff that you could not move?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_time_getoutbed_past7days	quality_of_life_and_care		radio	5.  In the past 7 days, how often did it take you a very long time to get out of bed because of stiffness?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
pain_820201	quality_of_life_and_care		descriptive	Pain Impact													
qol_scdadult_pain_noactivity_past7days	quality_of_life_and_care		radio	1.  In the past 7 days, how often did you have pain so bad that you could not do anything for a whole day?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_unable_outofbed_past7days	quality_of_life_and_care		radio	2.  In the past 7 days, how often did you have pain so bad that you could not get out of bed?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_often_severepain_past7days	quality_of_life_and_care		radio	3.  In the past 7 days, how often did you have very severe pain?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_stop_activity_past7days	quality_of_life_and_care		radio	4.  In the past 7 days, how often did you have pain so bad that you had to stop what you were doing?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
qol_scdadult_finish_activity_past7days	quality_of_life_and_care		radio	5.  In the past 7 days, how often did you have pain so bad that it was hard to finish what you were doing?	0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, Always												
pain_episodes_820201	quality_of_life_and_care		descriptive	Pain Episodes													
qol_scdadult_painattack_crises_past12months	quality_of_life_and_care		radio	1.  In the past 12 months, how many sickle cell pain attacks (crises) did you have?	0, I did not have a pain attack (crises) in the past 12 months | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more												
qol_scdadult_last_painattack_crisis	quality_of_life_and_care		radio	2.  When was your last pain attack (crisis)?	0, I've never had a pain attack (crisis) | 1, More than 5 years ago | 2, 1-5 years ago | 3, 7-11 months ago | 4, 1-6 months ago | 5, 1-3 weeks ago | 6, Less than a week ago | 7, I have one right now												
qol_scdadult_painserverity_duringattack_crisis	quality_of_life_and_care		radio	3.  Using any number from 0 to 10, where 0 is no pain and 10 is the worst pain imaginable, how severe was your pain during your last pain attack (crisis)?	0, No pain | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, Worst pain imaginable | 11, I've never had a pain attack (crisis)												
qol_scdadult_lastpainattack_crisis_interfere	quality_of_life_and_care		radio	4.  How much did your last pain attack (crisis) interfere with your life?	0, I've never had a pain attack (crisis) | 1, Not at all, I did everything I usually do | 2, I had to cut down on some things I usually do | 3, I could not do most things I usually do | 4, I could not take care of myself and needed some help from family or friends | 5, I could not take care of myself and needed constant care from family, friends, doctors, or nurses												
qol_scdadult_length_recentpainattack_crisis	quality_of_life_and_care		radio	5.  About how long did your most recent pain attack (crisis) last?	0, I've never had a pain attack (crisis) | 1, Less than 1 hour | 2, 1-12 hours | 3, 13-23 hours | 4, 1-3 days | 5, 4-6 days | 6, 1-2 weeks | 7, More than 2 weeks												
scoring_820201	quality_of_life_and_care		descriptive	Scoring information is available from Keller S. D., Evensen, C., Yang, M., & Owens, T. (2011). Adult Sickle Cell Quality of Life Measurement Information System user's manual and interpretation guide. Bethesda, MD: U.S. Department of Health and Human Services, National Institutes of Health, National Heart, Lung and Blood Institute.													
info_820401	quality_of_life_and_care	Self-efficacy in sickle cell disease (PhenX protocol PX0820401 unless stated otherwise)	descriptive	Sickle Cell Disease Self-Efficacy Scale The following questions ask about how sure you are in dealing day-to-day with sickle cell disease. There are no right or wrong answers; we just want to know what you think. So for each question, tell us how sure you are by checking the response that best tells how you feel. Please answer every question.													
selfefficacyscd_sure_something_reduce_pain	quality_of_life_and_care		radio	1.  How sure are you that you can do something to cut down on most of the pain?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_doing_daytoday	quality_of_life_and_care		radio	2.  How sure are you that you can keep doing most of the things you do day-to-day?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_preventpain_interfering_sleep	quality_of_life_and_care		radio	3.  How sure are you that you can keep sickle cell disease pain from interfering with your sleep?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_reducepain_nonmedication	quality_of_life_and_care		radio	4.  How sure are you that you can reduce your sickle cell disease pain by using methods other than taking medications?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_control_frequency_gettired	quality_of_life_and_care		radio	5.  How sure are you that you can control how often or when you get tired?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_dosomething_feelbetter	quality_of_life_and_care		radio	6.  How sure are you that you can do something to help yourself feel better if you are feeling sad or blue?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_life_management_daytodayy	quality_of_life_and_care		radio	7.  As compared with other people with sickle cell disease, how sure are you that you can manage your life from day-to-day?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_managediseasesymptoms	quality_of_life_and_care		radio	8.  How sure are you that you can manage your sickle cell disease symptoms so that you can do the things you enjoy doing?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
selfefficacyscd_sure_dealfrustration_havingdisease	quality_of_life_and_care		radio	9.  How sure are you that you can deal with the frustration of having sickle cell disease?	1, Not Sure at All | 2, Not Sure | 3, Neither | 4, Sure | 5, Very Sure												
scoring_820401	quality_of_life_and_care		descriptive	Scoring: Responses from individual items are summed to give an overall score, with higher scores indicating greater self-efficacy.													
info_sis_820701	quality_of_life_and_care	Stroke impact scale - SIS adults (PhenX protocol P0820701 unless stated otherwise)	descriptive	Stroke Impact Scale VERSION 3.0 The purpose of this questionnaire is to evaluate how stroke has impacted your health and life. We want to know from YOUR POINT OF VIEW how stroke has affected you. We will ask you questions about impairments and disabilities caused by your stroke, as well as how stroke has affected your quality of life. Finally, we will ask you to rate how much you think you have recovered from your stroke.													
physical_820701	quality_of_life_and_care		descriptive	These questions are about the physical problems which may have occurred as a result of your stroke.													
functionalityafterstrokeadult_strength_past7days_arm	quality_of_life_and_care		radio	1a.  In the past week, how would you rate the strength of your arm that was most affected by your stroke?	5, A lot of strength | 4, Quite a bit of strength | 3, Some strength | 2, A little strength | 1, No strength at all												
functionalityafterstrokeadult_strength_past7days_grip	quality_of_life_and_care		radio	1b.  In the past week, how would you rate the strength of your grip of your hand that was most affected by your stroke?	5, A lot of strength | 4, Quite a bit of strength | 3, Some strength | 2, A little strength | 1, No strength at all												
functionalityafterstrokeadult_strength_past7days_leg	quality_of_life_and_care		radio	1c.  In the past week, how would you rate the strength of your leg that was most affected by your stroke?	5, A lot of strength | 4, Quite a bit of strength | 3, Some strength | 2, A little strength | 1, No strength at all												
functionalityafterstrokeadult_strength_past7days_foot_ankle	quality_of_life_and_care		radio	1d.  In the past week, how would you rate the strength of your foot/ankle that was most affected by your stroke?	5, A lot of strength | 4, Quite a bit of strength | 3, Some strength | 2, A little strength | 1, No strength at all												
memory_820701	quality_of_life_and_care		descriptive	These questions are about your memory and thinking.													
functionalityafterstrokeadult_difficult_past7days_remember_things	quality_of_life_and_care		radio	2a.  In the past week, how difficult was it for you to remember things that people just told you?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_remember_previousday	quality_of_life_and_care		radio	2b.  In the past week, how difficult was it for you to remember things that happened the day before?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
functionalityafterstrokeadult_difficult_past7days_remember_dothings	quality_of_life_and_care		radio	2c.  In the past week, how difficult was it for you to remember to do things (e.g., keep scheduled appointments or take medication)?	5, Not difficult at all | 4, A little difficult | 3, Somewhat difficult | 2, Very difficult | 1, Extremely difficult												
